,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
05/28/2019 21:22:24,60,20.7843132,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.064,0.0720000044,20,27.5,29,112,35,53,976,2351,513,247,1160,0.78125,0,0,1.5625,0.5859375,28,27,28,27,28,3799.95776,3899.95654,3699.95874,3699.95874,16.6929836,1.5959152,0,4.510351,99.9988861,24.6871948,3.93489456,12.0041122,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:25,60,20.7843132,60,60,60,100,0.8880001,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.37600017,1.016,0.824000061,0.528,0.0720000044,0.0720000044,21.5,27.5,29,112,35,53,974,2356,511,252,1178,3.90625,3.90625,2.34375,3.1129837,3.31730843,29,36,30,27,36,3700.03442,3700.03442,3700.03442,3700.03442,19.9894714,6.175976,0,4.634388,100.000931,24.7345657,3.94244385,11.996563,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:26,60,24.3137264,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.128,3.47200012,3.37600017,1.016,0.824000061,0.416,0.064,0.136,25,27.5,29,112,35,53,981,2356,513,248,1142,2.34375,16.4558525,6.25,3.90625,7.23896027,31,32,33,29,33,3799.99683,3799.99683,3699.99683,3699.99683,20.92486,8.772043,0,4.655792,99.9999161,24.7697,3.94804382,11.990963,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:27,60,23.1372547,60,60,60,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.408000022,3.47200012,3.36000013,1.016,0.824000061,0.416,0.064,0.136,22.5,27.5,29,112,35,53,988,2360,509,251,1173,1.53846145,2.30768919,0.7692337,2.30768919,1.73076987,30,28,28,28,30,3899.99634,3899.99634,3699.99658,3899.99634,18.6755657,4.27453947,0,4.54578,99.99991,24.7723083,3.94845963,11.9905472,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:28,60,23.5294113,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.184000015,3.47200012,3.36000013,1.016,0.824000061,0.2,0.544,0.384,27,27.5,30,91,35,55,975,2356,510,253,1155,10.76923,21.53846,16.9230766,13.0769253,15.5769234,34,34,34,34,34,3699.996,3699.996,3699.996,3699.996,29.1685524,17.5452023,0,4.785811,99.9999,24.9115067,3.970646,11.9683609,28.0000019,1035,0,311.55,1500,1.087,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:29,60.7843132,27.4509811,60.7843132,60.7843132,60.7843132,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.536,3.47200012,3.36000013,1.016,0.824000061,0.0720000044,0.488000035,0.536,31,27.5,30,55,35,55,983,2351,511,251,1141,31.25,28.125,28.125,42.1875,32.421875,33,32,35,35,35,3699.99731,3699.99731,3699.99731,3699.99731,41.6180954,30.58799,0,5.35359955,99.99993,25.1333313,4.00600433,11.9330025,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:30,62.3529434,32.1568642,62.7451,62.7451,62.3529434,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.472000033,3.456,3.36000013,1.016,0.832,0.528,0.528,0.536,33.5,27.5,30,60,35,55,994,2356,513,255,1150,19.53125,32.03125,34.375,20.3125,26.5625,35,39,37,40,40,3699.99731,3699.99731,3699.99731,3699.99731,38.272,27.575573,0,5.23910427,99.99993,25.8260574,4.116417,11.82259,27.0000019,1035,0,300,150,0.900000036,0,24,-113.393631,82.91852,21,35.1714935
05/28/2019 21:22:31,62.7451,32.1568642,63.52941,63.52941,63.1372566,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.536,3.47200012,3.37600017,1.016,0.832,0.0720000044,0.56,0.536,35,27,30,53,35,55,1020,2351,520,265,1167,19.23077,21.53846,39.9999962,33.8461533,28.6538429,32,35,38,40,39,3699.99683,3699.99683,3699.99683,3699.99683,42.7226868,31.7569275,0,5.664478,99.9999161,27.16732,4.3302,11.6088066,27.0000019,1035,0,300,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:32,62.3529434,32.9411774,62.7451,62.7451,62.3529434,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.536,3.47200012,3.37600017,1.016,0.824000061,0.528,0.536,0.0720000044,33.5,27,30,55,35,55,1021,2356,525,269,1193,30.76923,33.07692,43.8461533,53.0769234,40.19231,40,38,37,38,40,3699.99316,3699.99316,3699.99316,3699.99316,47.3592949,36.2194138,0,5.626038,99.99982,26.91719,4.290333,11.648674,27.0000019,1035,0,300,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:33,62.3529434,32.9411774,62.7451,62.7451,62.3529434,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.536,3.456,3.36000013,1.016,0.824000061,0.536,0.4,0.536,33.5,27,30,55,35,55,1021,2351,525,270,1181,37.30159,35.71428,47.6190453,52.38095,43.25397,39,41,39,39,43,3699.99927,3699.99927,3699.99927,3699.99927,50.8917542,39.715744,0,6.26239347,99.99998,29.0098038,4.62387466,11.3151321,27.0000019,1035,0,303.43,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:34,61.56863,32.9411774,61.9607849,61.9607849,61.56863,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.36000013,1.016,0.832,0.528,0.528,0.528,32,27.5,30,55,35,55,1028,2356,530,274,1215,45.3125,35.9375,35.15625,49.21875,41.40625,38,41,39,39,41,3699.997,3699.997,3699.997,3699.997,46.90006,35.7048645,0,6.18420029,99.99992,28.3518143,4.518997,11.42001,28.0000019,1035,0,334.509979,1500,1.087,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:35,61.9607849,32.1568642,61.56863,61.56863,61.56863,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.47200012,3.37600017,1.016,0.832,0.528,0.528,0.528,32.5,27.5,30,55,35,55,1007,2351,525,268,1190,39.84375,51.5625,48.4375,50,47.4609375,39,43,39,41,42,3699.99658,3699.99658,3699.99658,3699.99658,49.8349953,38.6122246,0,6.39021,99.99991,29.072319,4.63383865,11.3051682,28.0000019,1035,0,342.24,1500,1.087,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:36,60.7843132,30.9803925,60.7843132,60.7843132,60.7843132,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.544,3.47200012,3.36000013,1.016,0.824000061,0.008,0.536,0.136,31.5,27.5,30,55,35,55,1006,2356,526,263,1184,37.6923065,33.8461533,36.15384,46.1538429,38.46154,39,36,40,38,39,3799.99634,3699.99658,3699.99658,3699.99658,45.52174,34.20547,0,6.07869625,99.9999,29.5601654,4.71159744,11.2274094,28.0000019,1035,0,300.62,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:37,61.17647,30.9803925,61.17647,61.17647,60.7843132,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.544,3.47200012,3.36000013,1.016,0.832,0.472000033,0.472000033,0.008,31.5,27.5,30,53,35,55,1004,2356,521,264,1172,24.6153831,24.6153831,37.6923065,37.6923065,31.1538467,35,40,37,37,37,3699.9978,3699.9978,3699.9978,3699.9978,43.0339928,31.8639812,0,5.73099041,99.99994,29.613327,4.72007,11.2189369,27.0000019,1035,0,300,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
05/28/2019 21:22:38,60,30.9803925,60,60,60,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.008,3.47200012,3.37600017,1.016,0.824000061,0.56,0.544,0.480000019,29.5,27.5,30,53,35,55,1007,2356,519,259,1145,11.5384579,39.9999962,29.2307682,23.84615,26.1538448,37,41,39,38,41,3799.996,3699.99634,3699.99634,3699.99634,41.8578339,30.5599537,0,5.07214737,99.9999,28.94703,4.61386871,11.3251381,27.0000019,1035,0,300,150,0.900000036,0,26,-113.222847,82.9628143,21,35.1714935
