,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/13/2022 00:15:09,23.84615,23.0769215,13.8461533,33.8461533,23.653841,68,54,60,52,67,3409.71631,3409.71631,3409.71631,3510.0022,16.8745956,14.8316689,0.00633145124,1.46274793,100.285774,38.9849129,12.4298592,19.453907,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:10,10.0000019,4.615384,10.76923,43.07692,17.1153851,48,50,47,54,54,3409.71558,3409.71558,3409.71558,3409.71558,14.6338444,12.6056671,0.00709341932,1.4469974,100.285751,38.95593,12.4206161,19.46315,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:11,11.71875,3.125,7.03125,39.0625,15.234375,51,51,48,53,53,3409.715,3409.715,3510.001,3409.715,14.3419008,12.3233862,0.0057099117,1.43094027,100.285736,38.9392242,12.4152908,19.4684753,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:12,17.96875,15.625,11.71875,34.375,19.921875,65,65,54,50,65,3409.715,3409.715,3409.715,3409.715,17.2834759,15.2596684,0.005787354,1.43112123,100.285736,38.92664,12.4112778,19.4724884,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,72.80276
05/13/2022 00:15:13,16.40625,26.5625,16.40625,23.4375,20.703125,59,54,56,55,59,3409.71631,3409.71631,3409.71631,3510.0022,17.98644,15.977663,0.006324945,1.36472857,100.285774,38.8804779,12.3965607,19.4872055,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
05/13/2022 00:15:14,11.5384579,20.7692261,9.230768,26.9230728,17.11539,66,63,49,58,66,3409.71558,3409.71558,3409.71558,3409.71558,17.0286484,15.001997,0.004496109,1.341481,100.285751,38.8797836,12.3963394,19.4874268,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
05/13/2022 00:15:15,20.3125,14.0625,11.71875,39.0625,21.2890625,51,52,50,62,62,3409.714,3409.714,3409.714,3409.714,17.6939888,15.6923161,0.009550311,1.31842947,100.285706,38.873024,12.3941841,19.4895821,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
05/13/2022 00:15:16,23.0769215,23.84615,20.7692261,38.4615364,26.5384617,55,67,55,55,67,3409.71655,3409.71655,3409.71655,3409.71655,20.2149162,18.2157078,0.00511367945,1.29953635,100.285782,38.8958,12.4014473,19.4823189,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
05/13/2022 00:15:17,30.46875,21.09375,29.6875,38.28125,29.8828125,61,65,55,55,65,3409.71533,3409.71533,3409.71533,3409.71533,21.9132919,19.9082661,0.0063351877,1.297556,100.285744,38.86295,12.3909721,19.492794,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
05/13/2022 00:15:18,40.625,42.1875,28.90625,41.40625,38.28125,65,62,61,56,65,3409.71558,3409.71558,3409.71558,3409.71558,25.30516,23.2380638,0.0037545017,1.55188084,100.285751,39.04086,12.4476967,19.43607,0,607.5,405.000031,1215,0,0,0,0,4096,75,4021,1.83105469,0,0,27,7.98132324,70.88525
