,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
12/15/2023 20:08:21,0,2.34375,10.15625,3.125,2.34375,0,1.58730149,0,0,1.58730149,0,0,0,0,1.95560455,62.67102,9.799187,5.836727,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.69800019,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:22,0.6024122,1.20481849,7.831323,4.2328,1.19047761,1.78571343,0,0,0,2.409637,5.952382,2.38095522,0,0,2.22190619,62.7456,9.810848,5.82506561,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.683,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:23,0,0,1.111114,0,2.222222,13.3333321,0,0,0,0,28.8888874,6.666666,13.3333321,2.222222,4.22222042,62.9198456,9.838093,5.797821,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.683,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:24,3.472221,0,4.16666269,4.86111069,2.777779,6.944442,0,0,0,0,11.1111107,2.777779,1.36986375,0,2.98516154,63.48842,9.926994,5.70891953,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.657,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:25,0,0.892853737,1.78571343,5.35714626,6.25,6.25,0,0,0,0,3.63636613,3.63636613,1.81818008,0,2.50812769,63.4798279,9.925652,5.7102623,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.66900015,0,0,41.46777,49.8158569
12/15/2023 20:08:26,0.78125,0,3.90625,7.8125,5.46875,1.5625,0,0,0,0,0,0,0,0,1.953125,63.53826,9.934788,5.701126,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70100021,0,0,41.46777,49.8158569
12/15/2023 20:08:27,0.78125,0,7.8125,5.46875,1.5625,0,0,0,0,0,0,0,0,0,1.5625,63.52423,9.932594,5.70331955,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72,0,0,41.46777,49.8158569
12/15/2023 20:08:28,0,0,1.5625,2.34375,3.90625,0,0,0,0,0,0,0,0,0,0.78125,63.50852,9.930138,5.705776,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72,0,0,41.46777,49.8158569
12/15/2023 20:08:29,0,0,5.46875,5.46875,0.78125,0,0,0,0,0,0,0,0,0,1.171875,63.49098,9.927395,5.708519,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72400022,0,0,41.46777,49.8158569
12/15/2023 20:08:30,0,0,7.03125,3.90625,0,0,0,0,0,0,1.58730149,0,0,0,1.17311478,63.4905167,9.927322,5.70859146,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70400023,0.9765625,0,41.46777,49.8158569
12/15/2023 20:08:31,0,0,5.46875,3.125,0.78125,0,0,0,0,0,0,0,0,0,0.9374976,63.46356,9.923107,5.7128067,45,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70800018,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:32,0,0,0.78125,2.34375,0,0,0,0,0,0,0,0,0,0,0.3125012,63.4618263,9.922836,5.71307755,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.73700023,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:33,0,0,8.59375,2.34375,1.5625,0.757575035,0,0,0,0,1.53846145,1.53846145,0,0,1.47960782,63.4331131,9.918346,5.71756744,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.74000025,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:34,0,0,6.25,3.125,0,0,0,0,0,0,3.125,0,3.125,0,1.24999881,63.4371376,9.918976,5.716938,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.73700023,0,0,41.46777,49.8158569
12/15/2023 20:08:35,0,0,6.25,5.46875,2.34375,0,0,0,0,0,0,0,0,0,1.40625238,63.4235954,9.916859,5.719055,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.756,0,0,41.46777,49.8158569
12/15/2023 20:08:36,0,0,7.8125,10.15625,0.78125,0,0,0,0,0,4.6875,0,0,0,2.10937262,63.40232,9.913532,5.72238159,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.752,0,0,41.46777,49.8158569
12/15/2023 20:08:37,0,0,2.34375,6.25,0.78125,0,0,0,0,0,0,1.58730149,0,0,1.01686716,63.4134674,9.915276,5.72063828,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71400023,0,0,41.46777,49.8158569
12/15/2023 20:08:38,0,0,4.6875,4.6875,0,0,0,0,0,0,0,1.5625,0,0,1.01562738,63.4026375,9.913582,5.722332,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.71400023,0.9765625,0,41.46777,49.8158569
12/15/2023 20:08:39,0,0,8.59375,6.25,0,0,0,0,0,0,0,0,1.58730149,0,1.56373978,63.38739,9.911198,5.724716,44,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.70500016,0.9765625,0,41.46777,49.8158569
12/15/2023 20:08:40,0,0,2.34375,3.90625,0,0,0,0,0,0,1.5625,1.58730149,0,0,0.7824898,63.38417,9.910694,5.72521973,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.706,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:41,0,0,4.6875,3.125,0,0,0,0,0,0,1.53846145,1.5625,0,0,0.936299562,63.37114,9.908657,5.727257,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.72100019,0,1.953125,41.46777,49.8158569
12/15/2023 20:08:42,0,0,4.6875,3.90625,0,0,0,0,0,0,0,0,0,0,0.8593738,63.3759727,9.909412,5.72650146,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.736,0,0,41.46777,49.8158569
12/15/2023 20:08:43,1.5625,0,7.03125,5.46875,2.34375,1.51515007,0,0,0,0,3.03030014,1.53846145,0,0,2.02057958,63.3949051,9.912373,5.72354126,43,210.000015,405.000031,0,0,0,0,0,6141,275.726563,5865.27344,4.489929,2.76100016,0,0,41.46777,49.8158569
