,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
08/12/2023 00:00:24,33.59375,38.28125,33.59375,35.9375,35.3515625,65,69,63,63,69,3409.65674,3409.65674,3409.65674,3409.65674,22.1993179,18.76871,0.867641,2.4104178,100.284019,36.20662,11.5553474,20.3596649,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:25,29.6875,35.15625,27.34375,30.46875,30.6640625,62,64,67,62,65,3509.99829,3409.71265,3409.71265,3409.71265,18.1972961,15.5077305,0.3279588,1.956498,100.285667,36.288044,11.5813332,20.33368,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:26,27.34375,35.15625,22.65625,37.5,30.6640625,65,70,65,66,70,3409.7666,3510.054,3409.7666,3409.7666,19.141468,16.5145721,0.231148779,2.03094864,100.287254,36.37611,11.60944,20.3055725,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:27,32.03125,56.25,34.375,32.8125,38.8671875,65,66,62,62,66,3409.71167,3409.71167,3409.71167,3409.71167,21.2812271,18.75595,0.13756907,2.08893061,100.285637,36.0203629,11.495903,20.41911,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:28,26.5625,43.75,32.8125,29.6875,33.203125,61,61,59,59,61,3509.99756,3409.712,3409.712,3409.712,17.96861,15.396203,0.228991941,1.90074384,100.285645,35.94886,11.4730835,20.4419289,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:29,17.96875,32.8125,28.90625,22.65625,25.5859375,62,64,60,61,64,3409.7124,3409.7124,3509.998,3409.7124,16.05176,13.5197992,0.224093109,1.86131883,100.28566,35.97164,11.4803543,20.4346581,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:30,27.34375,29.6875,17.1875,17.1875,22.8515625,63,66,61,63,66,3409.71118,3409.71118,3409.71118,3409.71118,15.97055,13.4481974,0.226423,1.87134075,100.285622,36.05941,11.5083656,20.4066467,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:31,24.21875,28.90625,28.125,27.34375,27.1484375,61,68,64,61,67,3409.713,3509.99854,3409.713,3409.713,14.8832293,12.3479872,0.244955689,1.79323936,100.285667,36.08475,11.5164528,20.39856,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:32,18.0059547,26.71131,20.411705,18.849205,20.994545,59,61,58,59,61,3409.712,3409.712,3409.712,3409.712,13.6817131,11.2969141,0.11392,1.793919,100.285645,35.8362961,11.4371567,20.4778557,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:33,15.625,9.375,9.375,4.66346169,9.759617,59,59,59,58,60,3610.2832,3409.712,3409.712,3409.712,9.85035,7.58973026,0.134095252,1.46001935,100.285645,35.84742,11.4407082,20.4743042,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:34,11.68269,8.55769,14.02644,12.5,11.6917076,58,59,57,58,60,3610.2832,3409.712,3610.2832,3409.712,10.0258551,7.751543,0.131960392,1.49629462,100.285645,35.8568649,11.4437218,20.47129,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
08/12/2023 00:00:35,11.7435513,10.9871025,15.687,8.59375,11.75285,58,58,57,57,59,3409.712,3610.2832,3409.712,3610.2832,9.802397,7.53351736,0.129645,1.49467325,100.285645,35.8615952,11.4452324,20.46978,0,139,405.000031,278,0,0,0,0,4096,75,4021,1.83105469,47,12.5445709,87.60485
