,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU PCIE Rx","GPU PCIE Tx","Used Space","Temperature","Used Space"
09/08/2022 16:28:46,38.28125,25,30.94952,25.78125,30.003006,58,60,55,58,60,3510,3409.71436,3409.71436,3409.71436,24.1245079,14.2033825,0.789131165,1.74576688,100.285721,12.6753922,4.045353,27.86966,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,87.890625,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:47,22.65625,14.0625,8.569712,4.6274066,12.4789658,57,54,52,52,56,3409.7146,3409.7146,3510.00024,3409.7146,18.71187,8.95484,0.6122153,1.30893981,100.285721,12.5993729,4.02109146,27.89392,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,111.328125,3.90625,48.4233856,34,57.2651939
09/08/2022 16:28:48,20.3125,17.96875,9.375,4.6875,13.0859375,51,53,52,51,54,3509.99976,3509.99976,3509.99976,3509.99976,17.3309441,8.086528,0.330177128,1.3334657,100.285706,12.5507507,4.00557327,27.90944,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,66.40625,1.953125,48.4233856,34,57.2651939
09/08/2022 16:28:49,28.90625,27.34375,21.875,25,25.78125,63,64,59,59,63,3509.99976,3409.714,3409.714,3409.714,23.2384624,14.0940485,0.4275687,1.58196771,100.285706,12.6053848,4.02301025,27.8920021,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,100.585938,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:50,19.53125,25.78125,7.03125,14.84375,16.796875,70,65,65,61,72,3409.713,3409.713,3409.713,3409.713,21.09772,11.7075462,0.311916471,1.38768256,100.285675,12.6102982,4.024578,27.8904343,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,97.65625,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:51,21.09375,26.5625,22.7058525,38.28125,27.1608353,59,61,59,58,61,3409.716,3409.716,3409.716,3510.00171,24.9696178,15.6216345,0.417037845,1.52157307,100.285767,12.5930862,4.019085,27.8959274,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,143.554688,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:52,26.5625,27.34375,22.54808,26.661705,25.7790089,60,58,54,54,60,3409.71387,3509.99951,3409.71387,3409.71387,22.8781013,13.4829311,0.4822489,1.51287222,100.285706,12.84697,4.100113,27.8149,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,115.234375,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:53,21.875,22.1354122,14.4137268,4.6875,15.77791,52,54,52,52,55,3409.714,3509.99976,3509.99976,3409.714,16.3079071,7.23591948,0.289373,1.16068065,100.285706,12.8447113,4.099392,27.81562,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,82.03125,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:54,14.84375,12.5,10.8894234,9.375,11.9020462,51,53,52,51,54,3409.715,3409.715,3409.715,3409.715,14.5405045,5.60657167,0.316763729,1.17175734,100.285744,12.8477249,4.10035324,27.81466,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,127.929688,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:55,3.125,9.375,6.25,1.5625,5.078125,52,54,53,51,54,3510,3409.714,3510,3510,14.181448,4.89021349,0.267054021,1.11978388,100.285713,12.7735367,4.07667542,27.8383369,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,119.140625,5.859375,48.4233856,34,57.2651939
09/08/2022 16:28:56,5.46875,8.4615345,1.53846145,2.30768919,4.44411039,51,52,50,49,53,3409.71387,3509.99976,3409.71387,3409.71387,14.0579472,4.799707,0.3027817,1.14806747,100.285706,12.7813873,4.07918167,27.83583,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,109.375,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:57,17.1875,13.28125,10.3174572,9.412205,12.5496025,52,54,53,51,55,3610.286,3409.71436,3610.286,3510.00024,16.8749638,7.748151,0.466745675,1.286571,100.285721,12.4845047,3.98443222,27.93058,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,131.835938,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:28:58,12.5,17.9811478,7.69230747,4.66346169,10.7092323,63,57,55,54,63,3610.28613,3409.7146,3510.00024,3610.28613,18.4146862,8.815723,0.502133965,1.2560215,100.285721,12.5081329,3.99197388,27.9230385,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,92.77344,3.90625,48.4233856,34,57.2651939
09/08/2022 16:28:59,24.21875,31.8990345,19.53125,35.15625,27.7013187,65,64,64,60,67,3409.71387,3409.71387,3409.71387,3409.71387,27.6902523,18.5571232,0.4000156,1.71137226,100.285706,12.5309448,3.99925232,27.91576,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,87.890625,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:29:00,32.8125,31.25,29.7743073,26.6989117,30.1339264,58,59,64,56,64,3409.7146,3510.00049,3510.00049,3409.7146,25.6555977,16.3829365,0.3222714,1.606762,100.285728,12.5375824,4.00136948,27.9136429,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,132.8125,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:29:01,42.1875,23.4375,17.3859119,18.7301579,25.4352627,59,60,55,61,61,3409.71387,3409.71387,3409.71387,3409.71387,24.3861847,15.6972132,0.3037909,1.66060078,100.285706,12.5380936,4.00153351,27.9134789,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,120.117188,2.9296875,48.4233856,34,57.2651939
09/08/2022 16:29:02,42.1875,43.75,33.07692,39.54327,39.63942,65,63,60,62,65,3409.714,3409.714,3510,3409.714,28.23005,19.371912,0.4248063,1.95521855,100.285713,12.6025772,4.022114,27.8928986,0,1354.00012,3504.00024,2708.00024,0,0,0,0,4096,75,4021,1.83105469,75.19531,4.8828125,48.4233856,34,57.2651939
09/08/2022 16:29:03,34.375,17.96875,13.3060513,21.875,21.8811989,64,61,64,60,64,3409.71436,3409.71436,3409.71436,3409.71436,23.5517025,15.0832586,0.445701569,1.35583174,100.285713,12.6537552,4.03844833,27.876564,47,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,0.9765625,0,48.4233856,34,57.2651939
09/08/2022 16:29:04,70.3125,71.875,55.8533669,59.375,64.3539658,73,72,70,67,74,3409.714,3409.714,3409.714,3409.714,34.976017,27.0132751,0.435848951,2.68867779,100.285713,12.8610382,4.104603,27.81041,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,59.5703125,1.953125,48.4233856,34,57.2651939
09/08/2022 16:29:05,89.84375,89.0625,85.9375,82.03125,86.71875,69,69,69,65,70,3409.71436,3409.71436,3409.71436,3409.71436,36.11103,27.6015835,0.1258659,2.5936904,100.285713,13.1921539,4.21027756,27.7047348,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,133.789063,1.953125,48.4233856,34,57.2651939
09/08/2022 16:29:06,51.5625,49.62798,54.25347,47.19742,50.6603432,60,61,70,59,70,3510.00024,3409.7146,3409.7146,3409.7146,30.7740746,21.772646,0.0252445377,2.1428988,100.285721,13.5623856,4.328438,27.5865746,0,1354.00012,3504.00024,2708.00024,1,0,0,0,4096,75,4021,1.83105469,140.625,1.953125,48.4233856,34,57.2651939
